timestamp,text,source
2026-07-01,临海港务集团公布 6 月运营数据，集装箱吞吐量 187 万 TEU，同比下降 8.4%。集团发言人将原因归结为"欧美航线季节性调整"。港口周边卡车排队长度较上月增加约 30%。,临海日报
2026-07-02,临海市住建局与经开区联合发布《半导体产业人才安居办法》，首批 800 套精装公寓位于临海东郊"芯园社区"，租金为市场价的 60%。符合条件的硕士及以上学历人员可申请。,临海城建
2026-07-03,海关总署发布公告，自 7 月 5 日起对包括"五轴联动数控机床、深紫外光刻辅件"在内的 14 类精密制造设备实施出口许可审查。临海市多家设备制造商表示"已在评估影响"。,海关通讯
2026-07-04,临海市商业银行宣布，自 7 月 5 日起首套房贷利率下调 15 个基点至 3.05%，二套维持在 3.85%。这是该行今年第三次下调房贷利率。二手房带看量本周环比上升 18%。,临海财经
2026-07-05,香港外汇市场今日早盘，离岸人民币对美元盘中触及 7.32，较前日收盘贬值 0.4%。市场分析人士指出，这与本周美元指数走强及部分新兴市场资金回流有关。央行未作公开表态。,财经快讯
2026-07-06,临海港务局内部数据显示，截至 7 月 5 日，港口堆场滞留集装箱达 4.12 万 TEU，已超过设计容量 95%。一位不愿具名的港口调度员透露，部分船舶开始转向宁波、青岛卸货。,港口内讯
2026-07-07,临海芯园半导体基地举行 12 英寸晶圆产线首片下线仪式，市委书记出席。该产线设计月产 2 万片，工艺节点 28nm，主要面向汽车电子与工业控制应用。,临海日报
2026-07-08,临海城建集团 2027 年到期美元债今日收益率飙升至 12.4%，较上周上升 320 个基点。集团回应称"现金流充裕，债务结构健康"。评级机构惠誉将其评级展望下调至"负面"。,财经周报
2026-07-09,临海市跨境电商综合试验区上半年出口额达 187 亿元，同比增长 23%。其中对东盟、中东出口增长尤为显著。试验区负责人表示"新结算通道成效显现"。,临海商务
2026-07-10,临海市气象台发布高温黄色预警，预计未来三天最高气温将达 37-39℃。市电力调度中心表示"电网负荷处于可控范围"，未启动有序用电。,气象通讯
2026-07-11,临海港 6 号集装箱泊位龙门吊今日上午发生液压故障，作业中断约 6 小时。港口集团已调集维修力量抢修，预计明日恢复。此次故障进一步加剧了堆场拥堵。,港口内讯
2026-07-12,人民银行今日开展 2000 亿元 7 天期逆回购操作，对冲到期 500 亿元，单日净投放 1500 亿元。市场解读为"对冲短期资金面波动"。Shibor 隔夜利率下行 8 个基点。,财经快讯
2026-07-13,临海市自然资源局公示，"芯园半导体基地二期"用地申请获批，总面积 28 公顷，位于一期西侧。二期规划月产 4 万片 14nm 工艺晶圆。土地出让金按"先进制造优惠"政策减免 30%。,临海城建
2026-07-14,上海航运交易所公布，本周 SCFI 指数 1023.4 点，较上周下跌 4.2%，已连续三周下跌。其中欧洲航线跌幅最大，达 7.8%。临海多家货代公司反映"客户出货意愿降低"。,航运通报
2026-07-15,临海市 7 月集中供地结果出炉，5 宗住宅地块中 3 宗流拍，2 宗底价成交，总出让金 27.8 亿元，较去年同期下降 61%。拿地企业均为本地国企，民营房企未参与。,临海财经
2026-07-16,临海市人社局发布《高层次人才购房补贴实施细则》，A 类人才最高补贴 200 万元，B 类 100 万元，C 类 50 万元。政策适用范围明确包含"集成电路、人工智能、生物医药"等领域。,临海人社
