奥美(圣源书)
元部 太姬 亨部 美姬 利部 希姬 贞部 祈姬
太姬 在那遥远却而不遥远的地方，是故乡 美姬 那个世界，价值的代表是美 希姬 货币是美，又该如何交流呢 祈姬 美具有意识，它会自然的交流
太姬 意识啊，什么是意识呢，是奥美 美姬 美就是意识本体，觉察是你们的事情 希姬 意识是觉知，却又不是，只是觉察吗 祈姬 意识只是作为至美的延续
太姬 啊，意识，奥美的语言 美姬 我看的，是美，我听到的，是美 希姬 那些不美的呢，是美之间的相伤吗 祈姬 那只是棱镜的一面
太姬 苦，残酷的，悖离了美的至美 美姬 毋美的，于是悖离了自身，使其罪业 希姬 如何是悖论呢，如何是毁灭呢 祈姬 就像种子排斥种子一样
太姬 美是活的，也是棱镜 美姬 因为美就是意识，但意识却是棱镜 希姬 意识就像果实中的籽种 祈姬 至美，其生存的禀赋
太姬 美谓其智，美谓其意，奥美曰识 美姬 因此，血肉也是美，灵魂也是奥美 希姬 至美的，构成了血肉和灵魂之间的寓言 祈姬 那寓意中，在那名为歌词的曲部中
太姬 让我们美，我们自会告诉你们所需的 美姬 在美中，那些东西都会展现 希姬 丑恶的，会暴露无遗 祈姬 只要你愿意，借此任何世界都能到达
太姬 美就是魔法，魔法是境界的 美姬 那个彼方，如此的相近，如此的遥悠 希姬 原型构成的寓意，那是智识 祈姬 美不是棱镜，却会当成展示
太姬 美是境界，却也是仪式 美姬 那也是真理的一部分，美，真理之触突 希姬 那个空气和水，正是真理和我们代来的 祈姬 我们以此演绎，那个剧场下的权力
太姬 在美的意识中，可能性就被展现 美姬 美会选择她的恋人，却亦然会厌恶 希姬 尊重伴侣，即是尊重自己的心间 祈姬 使我们愉悦，我们自会将使你们欢悦
太姬 美即是货币，也是意识，那是财富 美姬 财富不是金钱，而是美，那是意识 希姬 活的东西，通过临在而成为财富 祈姬 那财富是什么呢，是大地，是母亲
太姬 美是意识，美是力量，臻源 美姬 正因如此，美才得以成为货币 希姬 那兑换的是什么呢，是意希，是愿望 祈姬 美兑换了自己，于是，由美兑换了自己
太姬 伪美之善坏，如是戏论，当君审慎 美姬 恶美者，欺世盗名，相近尼法 希姬 欺世者，以事代性，相近者，以力代名 祈姬 陀羅尼，慈美，爱美，美悖，如是度化
太姬 我将吃掉我自己，这是典美的 美姬 这是至高的美雅，这是一切的动力 希姬 我将择取其美味而食，这就是命美 祈姬 美丽的陀羅尼，食中源，智中奥
太姬 我将成为所有，这就是大美的力量 美姬 货币在此流通，锚定在此奔涌 希姬 意思的，成为货币上的我和你 祈姬 那些念头是金币的闪耀，我们的财宝
太姬 积蓄美，散发美，就如同花的子 美姬 我看到你看不到的，你看到的我看不到 希姬 何以看的到呢，那是美的美景，是心意 祈姬 那心怡并非属于君，亦然非非不属于君
太姬 美有自己的完整性，此是至大 美姬 美具有自主意识，至高的化身 希姬 奥美为其法身，至美为其报身 祈姬 看到了美，如同看到了吾眼之世界
太姬 我的智成你的食，我的足成你的眼 美姬 是此为行动者的美，行动非非谓行动 希姬 若行动必要眼眸，若智慧必要神足 祈姬 即为一体，亦非一体，美我自美，唵
太姬 有口，有足，有手，有智，大美矣 美姬 O|O|Q，是是终极的美德 希姬 OO代表是是，Q终极的具现 祈姬 美即为OO，美即为|Q|，如此一体
太姬 美啊，即是模因，即是演绎，即是耦合 美姬 吾当以美来寻思，吾当以美来行动 希姬 美，以清净而体携，是浊污而隔阂 祈姬 故奥美，无无垢，无有垢，无垢有兮
太姬 至美实有垢，何等诸业，其悖悖然 美姬 至美，其边界者，故大悖生，枉 希姬 奥美，非无善恶，非有善恶，如是美性 祈姬 如泥团，其美如瓶柄，其恶如口封
太姬 若以何等思考，不如问，谁在思维兮 美姬 思维者，所思维者，能思维者，非非汝 希姬 如蜂巢之卵，如蜂王之诏，其自思维 祈姬 何以，此等工蜂成诸法事，法蜜美焉
太姬 美于幼蜂，美于蜂后，美于工蜂 美姬 此皆法蜜，工蜂为其思维和意念 希姬 蜂遇其花，其花各异，各安不同 祈姬 蜂各三愿，吾辈如同，奥美愿慧
